Date,FL_mnth_escrow_pmt_amt_avg,FL_orig_dti,FL_Bal,FL_curr2orgltv,FL_60+ DQ
2000-01-01,1.821989461,34.1453227,0.65645678,-15.886489990000001,1.7176957
2000-02-01,1.819934189,34.15356489,0.62008495,-16.52448649,1.5295308
2000-03-01,1.812539764,33.84673005,0.61629412,-16.340284529999998,1.3610109000000001
2000-04-01,1.806616882,36.39207601,0.63381675,-16.625136830000002,1.4044138
2000-05-01,1.804205737,36.67099432,0.63778188,-16.941897039999994,1.4148458
2000-06-01,1.804670044,36.80166895,0.64210119,-17.273192620000003,1.3776084
2000-07-01,1.814093073,36.75516277,0.68471526,-17.207072340000003,1.4457981
2000-08-01,1.811916821,36.6868502,0.69217106,-17.43482746,1.4687309000000002
2000-09-01,1.810711901,36.7053135,0.69871867,-17.625455240000008,1.5917851
2000-10-01,1.812656741,36.99653017,0.68975307,-17.77980453,1.5605063000000001
2000-11-01,1.811529754,37.10259802,0.71424942,-17.991900599999994,1.628644
2000-12-01,1.828379952,37.29231287,0.73382094,-18.228150729999996,1.7476675000000002
2001-01-01,1.897708744,37.37402286,0.73934135,-18.48618893999999,1.6632317
2001-02-01,1.906040036,37.37702786,0.68216822,-18.326180119999997,1.6918965000000001
2001-03-01,1.914883576,37.53042252,0.74363479,-18.817527760000004,1.5274433
2001-04-01,1.9154783990000002,37.51671325,0.73215622,-18.81210888999999,1.566189
2001-05-01,1.903881961,37.45092444,0.73972217,-18.757132750000004,1.5656432000000002
2001-06-01,1.904789707,37.37099384,0.75045048,-18.794692529999992,1.5916652999999998
2001-07-01,1.908842287,37.47197634,0.76420164,-18.9292047,1.6551103
2001-08-01,1.900215582,34.61401082,0.71228935,-19.43591945,1.6953209
2001-09-01,1.8992147289999999,37.5063528,0.78282193,-18.991479780000006,1.7716609
2001-10-01,1.8966449890000001,37.55393511,0.78717513,-19.0625292,1.747977
2001-11-01,1.907132066,37.37023062,0.78937692,-18.96097574000001,1.7708752
2001-12-01,1.9292136260000001,37.19166975,0.79617699,-18.50146382999999,1.8286424
2002-01-01,1.9877742559999998,36.79911778,0.80638646,-18.055715389999996,1.7888011
2002-02-01,2.025282533,36.80136945,0.80948855,-17.953900349999998,1.5979238
2002-03-01,2.027376889,36.65536453,0.81757721,-17.927651950000005,1.4734523
2002-04-01,2.019858988,36.68886612,0.73841287,-18.000016340000002,1.3657806
2002-05-01,2.019261379,36.7272806,0.7447446,-18.154923370000006,1.2858125999999999
2002-06-01,2.0201344629999998,36.70155427,0.75352942,-18.315381610000003,1.3977477
2002-07-01,2.0233592369999998,36.72302676,0.75951454,-18.395440809999997,1.3784608
2002-08-01,2.029189132,36.72206243,0.76694692,-18.347927369999994,1.4027881
2002-09-01,2.026058636,36.70812113,0.77004197,-18.223481950000007,1.4909252
2002-10-01,2.025317415,36.69707227,0.75927594,-17.740773849999997,1.4510403
2002-11-01,2.034549628,36.70472066,0.77180431,-17.635468280000005,1.4873433
2002-12-01,2.076965009,36.74069181,0.77016884,-17.427725790000004,1.5217546
