Date,FL_mnth_escrow_pmt_amt_avg,FL_orig_dti,FL_Bal,FL_curr2orgltv,FL_60+ DQ
2000-01-01,0.0,34.1453227,0.0,-15.886489990000001,1.7176957
2000-02-01,-0.11286739732641515,34.15356489,-5.700037282537093,-16.52448649,1.5295308
2000-03-01,-0.4071294280147052,33.84673005,-0.6132167667681434,-16.340284529999998,1.3610109000000001
2000-04-01,-0.3273075949454173,36.39207601,2.8035557688209223,-16.625136830000002,1.4044138
2000-05-01,-0.13355102771798258,36.67099432,0.6236469209611579,-16.941897039999994,1.4148458
2000-06-01,0.02573139286236303,36.80166895,0.6749564079708579,-17.273192620000003,1.3776084
2000-07-01,0.5207884568839308,36.75516277,6.425716491954903,-17.207072340000003,1.4457981
2000-08-01,-0.12003564937350499,36.6868502,1.083004858971914,-17.43482746,1.4687309000000002
2000-09-01,-0.0665218622662488,36.7053135,0.941506465335586,-17.625455240000008,1.5917851
2000-10-01,0.10734983817135202,36.99653017,-1.2914522279295637,-17.77980453,1.5605063000000001
2000-11-01,-0.06219255205992982,37.10259802,3.4898565094457608,-17.991900599999994,1.628644
2000-12-01,0.9258646357182314,37.29231287,2.7032818830012157,-18.228150729999996,1.7476675000000002
2001-01-01,3.7216931612774653,37.37402286,0.7494674385347206,-18.48618893999999,1.6632317
2001-02-01,0.43805760078276357,37.37702786,-8.048343796516235,-18.326180119999997,1.6918965000000001
2001-03-01,0.4629014704021003,37.53042252,8.627375633911601,-18.817527760000004,1.5274433
2001-04-01,0.031058318177965862,37.51671325,-1.55561341672116,-18.81210888999999,1.566189
2001-05-01,-0.6072468969515868,37.45092444,1.0280763262742163,-18.757132750000004,1.5656432000000002
2001-06-01,0.047667328471215874,37.37099384,1.439899646355507,-18.794692529999992,1.5916652999999998
2001-07-01,0.21253133662713003,37.47197634,1.8158014827216646,-18.9292047,1.6551103
2001-08-01,-0.45295818789170594,34.61401082,-7.034746173838558,-19.43591945,1.6953209
2001-09-01,-0.05268437324681429,37.5063528,9.442103064093276,-18.991479780000006,1.7716609
2001-10-01,-0.13539701587982078,37.55393511,0.5545502303056418,-19.0625292,1.747977
2001-11-01,0.5514047442705536,37.37023062,0.2793173154665659,-18.96097574000001,1.7708752
2001-12-01,1.1511894721261338,37.19166975,0.8577584968848624,-18.50146382999999,1.8286424
2002-01-01,2.9903076247751375,36.79911778,1.2741596126851975,-18.055715389999996,1.7888011
2002-02-01,1.8693664828487417,36.80136945,0.3839521982456061,-17.953900349999998,1.5979238
2002-03-01,0.10335712767154388,36.65536453,0.9942716310808307,-17.927651950000005,1.4734523
2002-04-01,-0.3715083516364207,36.68886612,-10.184223218058671,-18.000016340000002,1.3657806
2002-05-01,-0.029591047062789033,36.7272806,0.853822819760388,-18.154923370000006,1.2858125999999999
2002-06-01,0.04322844542830471,36.70155427,1.1726720951707708,-18.315381610000003,1.3977477
2002-07-01,0.15950437532256675,36.72302676,0.791140426285317,-18.395440809999997,1.3784608
2002-08-01,0.28771520982960447,36.72206243,0.9738128252510645,-18.347927369999994,1.4027881
2002-09-01,-0.154392372596802,36.70812113,0.4027425576921695,-18.223481950000007,1.4909252
2002-10-01,-0.036591074190063105,36.69707227,-1.407975121887466,-17.740773849999997,1.4510403
2002-11-01,0.4548044956161319,36.70472066,1.636576479926621,-17.635468280000005,1.4873433
2002-12-01,2.0633216478400684,36.74069181,-0.21212698979513056,-17.427725790000004,1.5217546
2003-01-01,4.28777084045262,36.76673012,0.41751855204879434,-17.232765359999995,1.4423193
2003-02-01,2.9267136626204704,36.75548242,0.2933701243357203,-16.96931187,1.3597458
2003-03-01,-0.21730198767634548,36.78579441,0.41488422615175485,-16.795831180000008,1.2957367
2003-04-01,-0.14487405689124758,35.26163041,5.75600746132608,-16.5862968,1.3136353
2003-05-01,0.716212612819508,35.16549614,0.9778857181112679,-16.278308700000004,1.3432769
2003-06-01,-0.5512163982946207,35.19160131,0.24416243985536543,-16.016200150000003,1.3842083
2003-07-01,-0.3268086803299411,35.1674342,0.11310793160005876,-15.609105069999998,1.3627494
2003-08-01,-0.6733553559724554,35.15406221,1.310639011252256,-15.146744850000005,1.3895838
2003-09-01,-0.8144558838930098,35.17784335,1.9852584172868177,-14.967189009999991,1.3694796
2003-10-01,-0.5083675041011306,35.18484976,1.3047888846290665,-14.957742249999995,1.3112353
2003-11-01,-11.740080932163854,30.48904472,26.936906265790743,-15.414810749999994,1.2748877
2003-12-01,1.8994299253432707,30.5087055,1.0346416400040919,-15.563554830000001,1.2195951999999999
2004-01-01,3.292810840227314,30.53463382,0.6352506837016915,-15.89885082,1.1843288
2004-02-01,3.019927572881077,30.58470249,-0.24312204582987865,-16.174489990000005,1.1153534999999999
2004-03-01,1.7584057048741675,30.56331482,0.43685244407796614,-16.510652719999996,0.9625951
2004-04-01,-0.021098036686141342,30.66707886,0.1420588499368172,-16.726567520000003,0.9232817000000001
2004-05-01,-0.01974094586141792,30.52788273,1.4011659164053818,-17.047561899999998,0.9749697999999999
2004-06-01,0.6270489895851187,30.51492713,0.3585892612573504,-17.461320889999996,0.9523235999999999
2004-07-01,-0.7729488059057555,34.43445045,25.654575697038368,-17.88091469999999,0.9970914000000001
2004-08-01,0.1614479069522964,34.43945197,0.13578263873766402,-18.455827160000005,1.0206617
2004-09-01,-0.17156914553783617,34.43026055,0.24770143259319347,-18.949707609999997,1.1326141
2004-10-01,0.23634047309527423,34.42236685,0.9256997521138972,-19.486903789999992,1.3339348
2004-11-01,0.2637198549808891,34.4384074,0.21472646660790073,-19.874823279999994,1.3310152
