Date,unempl_fl,30ymtgR_fl,10yinfR,10ry_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,payroll_us,yc530,ois_us,serv2debtsa_us
2000-01-31,0.0,0.2499999999999991,0.0,-0.03000000000000025,0.0,4.149999999999977,0.0,228.0,-13.549999999999999,0.0,2.4512325722381183
2000-02-29,0.0,-0.03999999999999915,0.0,-0.009999999999999787,0.0,2.480000000000018,0.0,111.0,-16.5,0.0,2.4512325722381183
2000-03-31,0.0,-0.08000000000000007,0.0,-0.29000000000000004,0.03999999999999915,5.17999999999995,0.0,484.0,0.0,0.0,2.4494499239383605
2000-04-30,0.09999999999999964,-0.1299999999999999,0.0,-0.029999999999999805,0.0,3.230000000000018,0.0,279.0,-21.800000000000004,0.0,2.4494499239383605
2000-05-31,0.0,0.39999999999999947,0.0,0.19999999999999973,0.0,6.1200000000000045,0.0,223.0,26.450000000000003,0.0,2.4494499239383605
2000-06-30,0.0,-0.3899999999999997,0.0,-0.09999999999999964,0.05000000000000071,7.2999999999999545,0.0,-46.0,9.100000000000001,0.0,2.4619444412679075
2000-07-31,0.0,-0.04999999999999982,0.0,-0.0600000000000005,0.0,7.769999999999982,0.0,168.0,-6.150000000000002,0.0,2.4619444412679075
2000-08-31,0.0,-0.16000000000000014,0.0,-0.009999999999999787,0.0,9.090000000000032,0.0,3.0,14.100000000000001,0.0,2.4619444412679075
2000-09-30,-0.09999999999999964,-0.08999999999999986,0.0,-0.029999999999999805,0.05999999999999961,5.980000000000018,0.0,126.0,21.4,0.0,2.4751623277135666
2000-10-31,0.0,-0.1800000000000006,0.0,-0.1200000000000001,0.0,5.9500000000000455,0.0,-5.0,-6.9,0.0,2.4751623277135666
2000-11-30,0.09999999999999964,-0.1299999999999999,0.0,-0.050000000000000266,0.0,6.039999999999964,0.0,201.0,21.75,0.0,2.4751623277135666
2000-12-31,0.0,-0.3899999999999997,0.0,-0.06999999999999984,0.020000000000000462,8.659999999999968,0.0,165.0,26.95,0.0,2.490894519990817
2001-01-31,0.10000000000000009,-0.08999999999999986,0.0,-0.2250000000000001,0.0,4.110000000000014,0.0,-19.0,37.849999999999994,0.0,2.490894519990817
2001-02-28,0.10000000000000009,-0.14000000000000057,0.0,-0.16599999999999993,0.0,11.220000000000027,0.0,87.0,-13.949999999999989,0.0,2.490894519990817
2001-03-31,0.0,0.09000000000000075,0.0,-0.04999999999999982,-0.09000000000000075,4.579999999999927,0.0,-35.0,18.75,0.0,2.4994026564865486
2001-04-30,0.09999999999999964,0.13999999999999968,0.0,0.022999999999999687,0.0,4.8900000000001,0.0,-296.0,5.349999999999994,0.0,2.4994026564865486
2001-05-31,0.10000000000000053,0.08000000000000007,0.0,-0.04499999999999993,0.0,2.1399999999999864,0.0,-44.0,-4.25,0.0,2.4994026564865486
2001-06-30,0.0,-0.16999999999999993,0.0,0.18100000000000005,-0.10999999999999943,2.409999999999968,0.0,-115.0,-5.75,0.0,2.5166007919269195
2001-07-31,0.09999999999999964,-0.1900000000000004,0.0,-0.052999999999999936,0.0,-4.110000000000014,0.0,-123.0,11.349999999999994,0.0,2.5166007919269195
2001-08-31,0.20000000000000018,-0.16999999999999993,0.0,-0.0990000000000002,0.0,-1.1999999999999318,0.0,-149.0,6.200000000000003,0.0,2.5166007919269195
2001-09-30,0.09999999999999964,-0.21999999999999975,0.0,-0.15799999999999992,-0.08999999999999986,0.5699999999999363,0.0,-259.0,67.7,0.0,2.512019583070315
2001-10-31,0.40000000000000036,-0.040000000000000036,0.0,-0.1499999999999999,0.0,-1.8500000000000227,0.0,-313.0,-43.150000000000006,0.0,2.512019583070315
2001-11-30,0.09999999999999964,0.40000000000000036,0.0,0.41900000000000004,0.0,7.25,0.0,-311.0,4.800000000000011,0.0,2.512019583070315
2001-12-31,0.10000000000000053,0.16999999999999993,0.0,0.13600000000000012,-0.1200000000000001,2.1800000000000637,0.0,-157.0,-31.700000000000003,0.0,2.5402295560400137
2002-01-31,0.0,-0.23000000000000043,0.0,-0.1120000000000001,0.0,-0.06000000000005912,0.0,-131.0,21.799999999999997,0.02200000000000002,2.5402295560400137
2002-02-28,0.0,-0.20999999999999996,0.0,-0.20900000000000007,0.0,0.04000000000007731,0.0,-121.0,-13.049999999999997,0.01200000000000001,2.5402295560400137
2002-03-31,-0.10000000000000053,0.40000000000000036,0.0,0.08899999999999997,-0.23000000000000043,5.139999999999986,0.0,-12.0,-3.25,0.08600000000000008,2.5222347076139986
2002-04-30,0.0,-0.3100000000000005,0.0,-0.20299999999999985,0.0,5.269999999999982,0.0,-104.0,13.700000000000003,-0.062000000000000055,2.5222347076139986
2002-05-31,-0.09999999999999964,-0.08999999999999986,0.0,-0.05400000000000027,0.0,3.1299999999999955,0.0,16.0,10.75,-0.001000000000000112,2.5222347076139986
2002-06-30,0.0,-0.1900000000000004,0.0,0.013000000000000345,-0.1899999999999995,4.449999999999932,0.0,50.0,26.400000000000006,-0.04599999999999982,2.514690507608787
2002-07-31,-0.09999999999999964,-0.009999999999999787,0.0,-0.3160000000000003,0.0,3.4500000000000455,0.0,-97.0,53.14999999999998,-0.05400000000000005,2.514690507608787
2002-08-31,0.0,-0.16000000000000014,0.0,-0.3420000000000001,0.0,4.230000000000018,0.0,2.0,-35.442999999999984,0.0,2.514690507608787
2002-09-30,-0.10000000000000053,-0.14999999999999947,0.0,-0.23199999999999976,-0.1800000000000006,2.840000000000032,0.0,-89.0,36.774,-0.15600000000000014,2.515629256746688
