Date,CREDIT SCORE RANGE NUM,FL_mnth_escrow_pmt_amt_avg,FL_orig_dti,FL_Bal,FL_cur_ltv,FL_curr2orgltv_diff,FL_60
2008-01-01,3.0,-2.3005310967485144,35.50793575,17.634162251131926,2.407898607361549,-269.32375427808137,4.3384224
2008-02-01,3.0,-1.0547419272217835,35.5184127,0.1726921481834415,2.5375596348008993,0.0,4.3982577
2008-03-01,3.0,-0.3329886942733827,35.56054857,0.2007396342341605,2.591882831236188,71.74838449174767,4.5121361
2008-04-01,3.0,-0.3103367360046461,35.56060056,-0.4321091108092474,2.0244161983143427,35.421602434040054,4.640614
2008-05-01,3.0,-1.3572083846463885,35.57372068,0.0076555174234768,2.041869242725738,26.59887032720946,4.7389328
2008-06-01,3.0,-0.3704934395587423,35.62109254,0.024925444591917,1.5809316575829964,16.65258606906767,4.9123225
2008-07-01,3.0,-1.2376991795922858,35.65016111,0.4104731093345112,1.5057150680598854,13.554368287159644,5.2472366
2008-08-01,3.0,-0.0144489472630855,35.67573597,0.0228632844983233,1.8347906818465023,15.004225563830278,5.6139293
2008-09-01,3.0,0.1564581212604092,35.70152765,-0.248650014007171,2.10842315348558,15.2909406978545,5.9802954
2008-10-01,3.0,0.2720234985254502,35.73511078,-0.1215174144808568,2.65348224633827,17.012408878608863,6.4364966
2008-11-01,3.0,0.330581870036501,35.75829332,-0.2177283497526843,2.2165698481715177,12.376656966832556,7.443754599999999
2008-12-01,3.0,-0.0674638281752802,35.77401657,-0.4258300950304888,2.8759485021884656,14.59979176688356,8.1447087
2009-01-01,3.0,2.4000919748960055,35.79008344,-0.301856138965464,3.573914242780743,15.830185389579936,8.5940585
2009-02-01,3.0,-3.520244163175666,35.79620767,-0.3571952989281293,2.4720931652336313,9.929381052979826,8.828628199999999
2009-03-01,3.0,-0.506569419940362,35.81156408,-0.6506240136159289,1.792568314736332,6.727553612372776,8.6694966
2009-04-01,3.0,-0.2378950808415901,35.83941777,-0.5470477549044159,1.1410191251609043,3.8610238145630538,8.6060654
2009-05-01,3.0,0.1181372139814976,35.85272636,-0.4086243848192512,0.5664335112302495,1.6846475080487706,8.6489913
2009-06-01,3.0,0.0658649552910804,35.876934,-0.4682996199212956,0.1564925813568753,-0.1435253564091325,8.8102948
2009-07-01,3.0,-0.127778507655216,35.90184497,-0.5210601366713329,-0.3093128534725261,-1.835177392496276,8.9470857
2009-08-01,3.0,0.2677213399673822,35.93365653,-0.2323203880119613,0.1079642709254366,-0.200550294692066,9.3643359
2009-09-01,3.0,0.2774110606051147,35.96204574,-0.3527773843767193,0.335418701517031,0.9377874653504203,9.6248584
2009-10-01,3.0,0.2876379103765616,36.16639647,-1.3513133145211176,0.257825632866369,0.4825330377015355,9.9121796
2009-11-01,3.0,2.2775361585872584,36.170293,-0.5165029428736683,0.3321256799039788,0.6393312762040937,10.3465058
2009-12-01,3.0,0.7448966011406134,36.19718349,-0.4545062511425811,-0.1925287446204221,-1.329813760659896,10.5031325
2010-01-01,3.0,-0.1392680544022827,36.21463397,-0.2568598941169819,1.1268191263664245,3.780422153573114,10.3534752
2010-02-01,3.0,-1.258610709862812,36.23319331,-0.5311522975969838,1.6681628005898947,5.7248795888907305,10.1147977
2010-03-01,3.0,-0.1421343342763924,36.25926194,-0.5571777922181381,0.2939248568987887,0.4445620947156768,9.6154719
2010-04-01,3.0,-0.2349322622613571,36.2878018,0.050413680404823,-0.6117209549670791,-2.976908312916916,9.5202105
2010-05-01,3.0,0.255230359385624,36.31780059,-0.7108991691475899,-0.6510429141372974,-3.0076422320377265,9.2611264
2010-06-01,3.0,0.0540420867058387,36.34397231,-0.4903865064784392,-0.281930296746022,-2.1128637493284033,8.905085699999999
2010-07-01,3.0,0.2098703169245975,36.38235063,-1.2801831468838163,0.4601483838762114,1.098907502978265,8.518190200000001
2010-08-01,3.0,0.1725976822518063,36.40602934,-0.9959966743187244,1.2162090543393145,4.2157190640229,8.2981395
2010-09-01,3.0,-0.0751274977010525,36.41912409,-0.1482962185214143,1.35165050230594,4.2746722086893705,8.193882299999999
2010-10-01,3.0,0.159547573100948,36.46021147,-1.6105269054014608,0.0049345483643793,-0.0843505911814359,7.960332200000001
2010-11-01,3.0,0.1497708088482973,36.5596899,-0.7034364117627159,0.01833771109771,-0.2617732222738358,7.663428
2010-12-01,3.0,0.1441298004006978,36.59428942,0.0284312068254575,0.1287222927360808,0.1741121986063334,7.4222906
2011-01-01,3.0,-8.910611846181572,35.66702523,7.067842944098983,0.6137688194580634,3.193752347929804,7.2081911
2011-02-01,3.0,0.374052578730073,35.68450441,-0.4696748624409094,0.9916656115964748,3.2055600148214785,7.1104432
2011-03-01,3.0,0.3138228678250608,35.7015345,-0.7049521889239457,0.1222347043701629,0.1381343998895374,6.6372784000000005
2011-04-01,3.0,-0.0727544499642281,35.70173088,-0.5875003832056689,-1.201694700556169,-4.510361425725433,6.4949665
2011-05-01,3.0,0.4494550851099236,35.71286542,0.9465321273249998,-1.4329374218200144,-5.4429572063097496,6.4421202
2011-06-01,3.0,0.0147081157336334,35.72487316,-0.4492575701460297,-1.2955032409297598,-5.216731911129894,6.4408625
2011-07-01,3.0,0.1973587231715636,35.73383402,-0.6413694234946437,-1.154906004656943,-4.695607740736463,6.545403599999999
2011-08-01,3.0,0.2911696272216428,35.73584078,-0.6051910869568624,-0.140133655257708,-0.8648600338535549,6.4993786
2011-09-01,3.0,0.0154502376998464,35.70492479,-0.997628500339552,0.0697619812101285,-0.1455000017169528,6.4659516
